fg_frac,degenerate,border_touch,image_id,confidence
0.13274002075195312,False,False,image_0017,0.0030962333548814
0.2566642761230469,False,False,image_0032,0.5724366307258606
0.1540069580078125,False,False,image_0035,0.5734022259712219
0.31061553955078125,False,False,image_0040,0.1550972163677215
0.3984565734863281,False,False,image_0042,0.6885945796966553
0.2073822021484375,False,False,image_0047,0.3345485627651214
0.2560615539550781,False,False,image_0051,0.4651461839675903
0.3246421813964844,False,False,image_0051,0.7017418742179871
0.14888763427734375,False,False,image_0064,0.7251693606376648
0.310699462890625,False,False,image_0105,0.75864577293396
0.4410133361816406,False,False,image_0154,0.4120776951313019
0.12343215942382812,False,False,image_0158,0.2439688742160797
0.07909393310546875,False,False,image_0191,0.0012813293142244
0.07464218139648438,False,False,image_0204,0.0070564881898462
0.3366546630859375,False,False,image_0271,0.7341993451118469
0.36660003662109375,False,False,image_0277,0.4867482185363769
0.2570915222167969,False,False,image_0301,0.0515034645795822
0.01685333251953125,False,False,image_0305,0.0094490367919206
0.3326072692871094,False,False,image_0311,0.4638047218322754
0.3145484924316406,False,False,image_0321,0.4472651779651642
0.3399467468261719,False,False,image_0338,0.7966118454933167
0.3746528625488281,False,False,image_0338,0.7911680936813354
0.35692596435546875,False,False,image_0338,0.3502905964851379
0.3249855041503906,False,False,image_0338,0.8297522068023682
0.16129302978515625,False,False,image_0340,0.0045147617347538
0.18985748291015625,False,False,image_0363,0.6354342103004456
0.2314300537109375,False,False,image_0363,0.6617533564567566
0.10702896118164062,False,False,image_0378,0.4023647010326385
0.06310653686523438,False,False,image_0389,0.2626977264881134
0.1145782470703125,False,False,image_0389,0.0088601130992174
0.003448486328125,False,False,image_0405,0.3346216082572937
0.17926406860351562,False,False,image_0405,0.0412068888545036
0.8468208312988281,False,True,image_0422,0.0031931705307215
0.6125411987304688,False,True,image_0422,0.4593140184879303
0.3330078125,False,False,image_0448,0.6746963262557983
0.4632759094238281,False,False,image_0448,0.5549331307411194
0.40520477294921875,False,False,image_0482,0.0578151941299438
0.25913238525390625,False,False,image_0482,0.0419364608824253
0.17374801635742188,False,False,image_0519,0.2491673082113266
0.3129234313964844,False,False,image_0519,0.0162006523460149
0.2662849426269531,False,False,image_0519,0.0025722035206854
0.20356369018554688,False,False,image_0519,0.0109699657186865
0.3259315490722656,False,False,image_0597,0.7008472084999084
0.16424942016601562,False,False,image_0597,0.0024507502093911
0.3994598388671875,False,False,image_0609,0.2743428349494934
0.01929473876953125,False,False,image_0613,0.5360785722732544
0.14691925048828125,False,False,image_0613,0.3388044834136963
0.2992820739746094,False,False,image_0618,0.4774963557720184
0.4620857238769531,False,False,image_0628,0.4906612634658813
0.332000732421875,False,False,image_0637,0.5953083038330078
0.3925209045410156,False,False,image_0637,0.4105951189994812
0.13908767700195312,False,False,image_0637,0.0031133699230849
0.19961166381835938,False,False,image_0647,0.0061126369982957
0.06814956665039062,False,False,image_0676,0.6031690239906311
0.062252044677734375,False,False,image_0676,0.3150809109210968
0.5563201904296875,False,False,image_0679,0.0154311638325452
0.3534355163574219,False,False,image_0679,0.1503195315599441
0.3649635314941406,False,False,image_0689,0.5908481478691101
0.3676414489746094,False,False,image_0689,0.6859139204025269
0.3417091369628906,False,False,image_0693,0.3551214039325714
0.26743316650390625,False,False,image_0708,0.0423734784126281
0.15202713012695312,False,False,image_0708,0.6803085207939148
0.6035690307617188,False,False,image_0709,0.0349256284534931
0.025959014892578125,False,False,image_0713,0.0021646854002028
0.24460220336914062,False,False,image_0713,0.0309196021407842
0.05423736572265625,False,False,image_0713,0.621249794960022
0.12465667724609375,False,False,image_0717,0.5819453001022339
0.2629356384277344,False,False,image_0719,0.0987852290272712
0.3349266052246094,False,False,image_0720,0.5163425207138062
0.371490478515625,False,False,image_0733,0.2901749312877655
0.267578125,False,False,image_0733,0.5778452754020691
0.07653045654296875,False,False,image_0746,0.1878556013107299
0.5055198669433594,False,False,image_0747,0.4211105108261108
0.2936363220214844,False,False,image_0750,0.0140840848907828
0.30623626708984375,False,False,image_0750,0.3032964468002319
0.36937713623046875,False,False,image_0750,0.0370592959225177
0.4422569274902344,False,False,image_0750,0.2340917140245437
0.3867912292480469,False,False,image_0750,0.0500882752239704
0.269866943359375,False,False,image_0750,0.1642315536737442
0.059429168701171875,False,False,image_0753,0.0429877340793609
0.09188461303710938,False,False,image_0754,0.0081600109115242
0.3173179626464844,False,False,image_0756,0.042909100651741
0.11622238159179688,False,False,image_0766,0.290096253156662
0.052448272705078125,False,False,image_0769,0.2657916843891144
0.26615142822265625,False,False,image_0772,0.2406008392572403
0.5370445251464844,False,True,image_0772,0.0812291055917739
0.37447357177734375,False,False,image_0791,0.0155557719990611
0.005474090576171875,False,False,image_0803,0.0441990122199058
0.03839111328125,False,False,image_0803,0.0830172300338745
0.0,True,False,image_0803,0.0488193072378635
0.043773651123046875,False,False,image_0803,0.0144873056560754
0.043529510498046875,False,False,image_0807,0.0156073067337274
0.437774658203125,False,False,image_0809,0.2289424985647201
0.32666015625,False,False,image_0809,0.0034804956521838
0.2783241271972656,False,False,image_0809,0.0378700233995914
0.2412872314453125,False,False,image_0809,0.3336953818798065
0.3199615478515625,False,False,image_0831,0.7113611698150635
0.37847137451171875,False,False,image_0837,0.4897947013378143
0.14397811889648438,False,False,image_0837,0.106058768928051
0.28145599365234375,False,False,image_0840,0.6738459467887878
0.2704010009765625,False,False,image_0840,0.6592875719070435
0.17345046997070312,False,False,image_0840,0.2233482599258422
0.3527679443359375,False,False,image_0842,0.4987299740314483
0.2774620056152344,False,False,image_0854,0.6919817328453064
0.3239097595214844,False,False,image_0854,0.7207112312316895
0.090728759765625,False,False,image_0881,0.107705682516098
0.37857818603515625,False,False,image_0887,0.0886357277631759
0.24398040771484375,False,False,image_0887,0.0532378070056438
0.42224884033203125,False,False,image_0887,0.5991578698158264
0.21728134155273438,False,False,image_0917,0.0434413589537143
0.2938728332519531,False,False,image_0917,0.1246376857161521
0.26947784423828125,False,False,image_0917,0.0189685355871915
0.12870025634765625,False,False,image_0935,0.4456878304481506
0.4382438659667969,False,False,image_0936,0.0014604616444557
0.48743438720703125,False,False,image_0936,0.2745088636875152
0.2935333251953125,False,False,image_0938,0.604278564453125
0.3198699951171875,False,False,image_0957,0.0053500039502978
0.2488250732421875,False,False,image_1032,0.3837788701057434
0.2513389587402344,False,False,image_1032,0.2509412765502929
0.188018798828125,False,False,image_1039,0.6104351282119751
0.17945480346679688,False,False,image_1039,0.4012049734592438
0.03099822998046875,False,False,image_1046,0.0041092694737017
0.20088958740234375,False,False,image_1046,0.8332713842391968
0.04930877685546875,False,False,image_1046,0.0030273110605776
0.3862342834472656,False,False,image_1049,0.1193598210811615
0.4347801208496094,False,False,image_1049,0.0207662787288427
0.4324684143066406,False,False,image_1049,0.4003967344760895
0.4652824401855469,False,False,image_1050,0.010875990614295
0.31185150146484375,False,False,image_1051,0.6279910802841187
0.026348114013671875,False,False,image_1059,0.1370421946048736
0.136322021484375,False,False,image_1067,0.5189637541770935
0.4726219177246094,False,False,image_1102,0.3035216033458709
0.061405181884765625,False,False,image_1104,0.0749143585562706
0.12666702270507812,False,False,image_1104,0.616619348526001
0.17361831665039062,False,False,image_1104,0.2900911569595337
0.32166290283203125,False,False,image_1177,0.4282580316066742
0.02088165283203125,False,False,image_1188,0.0450848899781703
0.3193817138671875,False,False,image_1210,0.4629823267459869
0.17690658569335938,False,False,image_1221,0.6899995803833008
0.11515045166015625,False,False,image_1225,0.5608400702476501
0.008403778076171875,False,False,image_1237,0.0122902756556868
0.3410453796386719,False,False,image_1247,0.1278043538331985
0.2796897888183594,False,False,image_1251,0.289588451385498
0.41564178466796875,False,False,image_1251,0.3615536093711853
0.25240325927734375,False,False,image_1263,0.0138110918924212
0.4001808166503906,False,False,image_1263,0.0367935001850128
0.2569580078125,False,False,image_1267,0.2707541286945343
0.4233589172363281,False,False,image_1272,0.2660852968692779
0.3126983642578125,False,False,image_1272,0.5539028644561768
0.33153533935546875,False,False,image_1278,0.7641237378120422
0.3227119445800781,False,False,image_1286,0.0520629733800888
0.30764007568359375,False,False,image_1303,0.7046877145767212
0.3339118957519531,False,False,image_1303,0.0010498440824449
0.04271697998046875,False,False,image_1303,0.3059221804141998
0.3130531311035156,False,False,image_1303,0.5645425915718079
0.43094635009765625,False,False,image_1303,0.0035113166086375
0.4135398864746094,False,False,image_1303,0.00263706385158
0.3397369384765625,False,False,image_1303,0.1468863040208816
0.02686309814453125,False,False,image_1335,0.6170936822891235
0.3797569274902344,False,False,image_1355,0.0292916856706142
0.027645111083984375,False,False,image_1358,0.2282745838165283
0.24538421630859375,False,False,image_1361,0.0680022984743118
0.13164520263671875,False,False,image_1362,0.0147111723199486
0.19569778442382812,False,False,image_1362,0.3537985384464264
0.2611541748046875,False,False,image_1362,0.0208162944763898
0.18540191650390625,False,False,image_1362,0.0621951110661029
0.172637939453125,False,False,image_1362,0.1226854920387268
0.1357421875,False,False,image_1362,0.0678192377090454
0.3127021789550781,False,False,image_1362,0.0414524748921394
0.3413047790527344,False,False,image_1362,0.0247747842222452
0.19049453735351562,False,False,image_1420,0.3830752074718475
0.4019355773925781,False,False,image_1440,0.4842892289161682
0.4543113708496094,False,False,image_1440,0.7845602631568909
0.44162750244140625,False,False,image_1440,0.0045746653340756
0.3053321838378906,False,False,image_1480,0.852537214756012
0.2995109558105469,False,False,image_1480,0.0979692488908767
0.4301643371582031,False,False,image_1480,0.4813574254512787
0.3227348327636719,False,False,image_1480,0.5280997157096863
0.4475288391113281,False,False,image_1480,0.5103234648704529
0.20472335815429688,False,False,image_1480,0.2181006073951721
0.22878265380859375,False,False,image_1487,0.6635429263114929
0.23122787475585938,False,False,image_1489,0.0642041265964508
0.2665863037109375,False,False,image_1496,0.1235501021146774
0.4776611328125,False,False,image_1496,0.0175643227994442
0.06359100341796875,False,False,image_1518,0.6540439128875732
0.2989082336425781,False,False,image_1523,0.2455142736434936
0.28554534912109375,False,False,image_1523,0.2236879169940948
0.4268226623535156,False,False,image_1523,0.0490488074719905
0.16498565673828125,False,False,image_1545,0.0530244037508964
0.135650634765625,False,False,image_1590,0.0348319038748741
0.4431495666503906,False,False,image_1590,0.3559432327747345
0.14495468139648438,False,False,image_1590,0.1147775202989578
0.2630958557128906,False,False,image_1598,0.0292472094297409
0.374053955078125,False,False,image_1598,0.6663019061088562
0.17604446411132812,False,False,image_1640,0.6007859706878662
0.07187652587890625,False,False,image_1640,0.2923614382743835
0.3588294982910156,False,False,image_1640,0.7277461290359497
0.0100860595703125,False,False,image_1668,0.0010968189453706
0.052608489990234375,False,False,image_1669,0.389758825302124
0.3705406188964844,False,False,image_1669,0.7533471584320068
0.11003494262695312,False,False,image_1679,0.2824180126190185
0.47896575927734375,False,False,image_1685,0.0339498296380043
0.18886184692382812,False,False,image_1701,0.6000463366508484
0.1743316650390625,False,False,image_1702,0.5172393918037415
0.33026123046875,False,False,image_1702,0.6250267028808594
0.3649559020996094,False,False,image_1702,0.6009213328361511
0.28307342529296875,False,False,image_1752,0.6215932965278625
0.4559211730957031,False,False,image_1791,0.2703883051872253
0.49741363525390625,False,False,image_1791,0.007401458453387
0.5848197937011719,False,False,image_1791,0.0027180805336683
0.5781097412109375,False,True,image_1805,0.0013298145495355
0.46001434326171875,False,False,image_1805,0.5061728358268738
0.45030975341796875,False,False,image_1805,0.3399780690670013
0.5121040344238281,False,False,image_1805,0.5894341468811035
0.3303260803222656,False,False,image_1841,0.824831485748291
0.3912086486816406,False,False,image_1841,0.8042017817497253
0.3396949768066406,False,False,image_1841,0.7767660021781921
0.3194313049316406,False,False,image_1846,0.3983520269393921
0.3306732177734375,False,False,image_1846,0.048401191830635
0.3577995300292969,False,False,image_1846,0.2523025572299957
0.3010749816894531,False,False,image_1848,0.7770354151725769
0.3254203796386719,False,False,image_1864,0.7398453950881958
0.3208961486816406,False,False,image_1891,0.1347485035657882
0.20164871215820312,False,False,image_1972,0.1689203977584839
0.2833213806152344,False,False,image_2010,0.3425702452659607
0.2898101806640625,False,False,image_2014,0.7710654735565186
0.2979583740234375,False,False,image_2015,0.607318639755249
0.0,True,False,image_2017,0.1693760901689529
0.3819122314453125,False,False,image_2040,0.8138420581817627
0.19365310668945312,False,False,image_2047,0.1062059700489044
0.07225799560546875,False,False,image_2053,0.2298291623592376
0.4214897155761719,False,False,image_2059,0.0173216722905635
0.32207489013671875,False,False,image_2059,0.0225654263049364
0.3974609375,False,False,image_2059,0.0031308790203183
0.21237945556640625,False,False,image_2059,0.0022943802177906
0.3624687194824219,False,False,image_2059,0.0015324775595217
0.16789627075195312,False,False,image_2068,0.193602055311203
0.23500823974609375,False,False,image_2068,0.194153606891632
0.22369384765625,False,False,image_2068,0.0265780519694089
0.32004547119140625,False,False,image_2081,0.2632338404655456
0.22124481201171875,False,False,image_2085,0.0199873466044664
0.044895172119140625,False,False,image_2085,0.101944513618946
0.294281005859375,False,False,image_2107,0.0028951037675142
0.3013916015625,False,False,image_2131,0.0053138537332415
0.42937469482421875,False,False,image_2131,0.0202751103788614
0.3089179992675781,False,False,image_2133,0.0440006554126739
0.2637901306152344,False,False,image_2143,0.0825002714991569
0.2523040771484375,False,False,image_2156,0.7004735469818115
0.443328857421875,False,True,image_2167,0.1121576949954032
0.3655242919921875,False,False,image_2167,0.0336890593171119
0.22638320922851562,False,False,image_2167,0.0111949192360043
0.32802581787109375,False,False,image_2167,0.0053117889910936
0.024028778076171875,False,False,image_2173,0.0026013425085693
0.09381103515625,False,False,image_2182,0.2667289674282074
