fg_frac,degenerate,border_touch,image_id
0.13961029052734375,False,False,ISIC_0012325
0.3701438903808594,False,False,ISIC_0012333
0.265716552734375,False,False,ISIC_0012348
0.3623771667480469,False,False,ISIC_0012406
0.3513603210449219,False,False,ISIC_0012445
0.082794189453125,False,False,ISIC_0012469
0.18058395385742188,False,False,ISIC_0012489
0.34603118896484375,False,False,ISIC_0012520
0.33416748046875,False,False,ISIC_0012672
0.323883056640625,False,False,ISIC_0012678
0.35895538330078125,False,False,ISIC_0012690
0.29688262939453125,False,False,ISIC_0012705
0.3451576232910156,False,False,ISIC_0012735
0.3821563720703125,False,False,ISIC_0012741
0.394317626953125,False,False,ISIC_0012773
0.2677192687988281,False,False,ISIC_0012823
0.37793731689453125,False,False,ISIC_0012873
0.3395957946777344,False,False,ISIC_0012878
0.3066749572753906,False,False,ISIC_0012901
0.3495368957519531,False,False,ISIC_0012904
0.040271759033203125,False,False,ISIC_0012957
0.27219390869140625,False,False,ISIC_0012965
0.35918426513671875,False,False,ISIC_0012990
0.3280448913574219,False,False,ISIC_0013012
0.31273651123046875,False,False,ISIC_0013037
0.3871726989746094,False,False,ISIC_0013075
0.3444709777832031,False,False,ISIC_0013086
0.12486648559570312,False,False,ISIC_0013159
0.3240814208984375,False,False,ISIC_0013160
0.3223381042480469,False,False,ISIC_0013167
0.15929412841796875,False,False,ISIC_0013170
0.3399848937988281,False,False,ISIC_0013200
0.4283294677734375,False,False,ISIC_0013208
0.2850151062011719,False,False,ISIC_0013224
0.332794189453125,False,False,ISIC_0013230
0.2549400329589844,False,False,ISIC_0013249
0.26123046875,False,False,ISIC_0013271
0.26013946533203125,False,False,ISIC_0013302
0.4152259826660156,False,False,ISIC_0013329
0.28948211669921875,False,False,ISIC_0013342
0.3725166320800781,False,False,ISIC_0013425
0.3134880065917969,False,False,ISIC_0013430
0.16520309448242188,False,False,ISIC_0013518
0.39298248291015625,False,False,ISIC_0013572
0.27460479736328125,False,False,ISIC_0013577
0.32122039794921875,False,False,ISIC_0013578
0.2961158752441406,False,False,ISIC_0013579
0.3312873840332031,False,False,ISIC_0013588
0.24203109741210938,False,False,ISIC_0013615
0.38079833984375,False,False,ISIC_0013639
0.3182029724121094,False,False,ISIC_0013667
0.2923583984375,False,False,ISIC_0013696
0.4245109558105469,False,False,ISIC_0013712
0.35114288330078125,False,False,ISIC_0013736
0.28295135498046875,False,False,ISIC_0013766
0.2953376770019531,False,False,ISIC_0013805
0.23833847045898438,False,False,ISIC_0013817
0.29111480712890625,False,False,ISIC_0013832
0.380584716796875,False,False,ISIC_0013891
0.4647789001464844,False,False,ISIC_0013910
0.3470611572265625,False,False,ISIC_0013918
0.3230323791503906,False,False,ISIC_0013948
0.4449005126953125,False,False,ISIC_0013962
0.2510185241699219,False,False,ISIC_0014073
0.387939453125,False,False,ISIC_0014093
0.413330078125,False,False,ISIC_0014099
0.2873268127441406,False,False,ISIC_0014131
0.3021392822265625,False,False,ISIC_0014189
0.29451751708984375,False,False,ISIC_0014211
0.4028739929199219,False,False,ISIC_0014299
0.3137855529785156,False,False,ISIC_0014336
0.40375518798828125,False,False,ISIC_0014346
0.35517120361328125,False,False,ISIC_0014357
0.4517860412597656,False,False,ISIC_0014440
