source,n,n_melanoma,native_classifier_overall_referred,native_classifier_benign_referred,native_classifier_melanoma_routed,native_classifier_melanoma_ci_lo,native_classifier_melanoma_ci_hi,native_classifier_auc,referral_head_overall_referred,referral_head_benign_referred,referral_head_melanoma_routed,referral_head_melanoma_ci_lo,referral_head_melanoma_ci_hi,referral_head_auc
DDI,656,21,0.5060975609756098,0.43711340206185567,0.3333333333333333,0.17194536432683688,0.546269243427897,0.6734551154518599,0.7820121951219512,0.7608247422680412,0.7619047619047619,0.5490841802765406,0.8937214361088773,0.5900283354434195
DDI-2,661,4,0.4296520423600605,0.40609137055837563,0.25,0.045586062644636216,0.6993639475573634,0.6537345902828137,0.8532526475037822,0.8409475465313029,0.75,0.30063605244263664,0.9544139373553638,0.6120497945371042
Fitzpatrick17k (atlas),583,83,0.7632933104631218,0.7,0.6867469879518072,0.5805842734789477,0.7763875004174338,0.7393757361601885,0.6569468267581475,0.5133333333333333,0.7951807228915663,0.6962433303733685,0.86800237675317,0.6924499411071848
COMBINED (DDI + DDI-2 + Fitzpatrick17k),1900,108,0.5584210526315789,0.4811046511627907,0.6018518518518519,0.5075620937035107,0.6891446773011959,0.7340560092313155,0.7684210526315789,0.7412790697674418,0.7870370370370371,0.7006639174764426,0.8536915280822762,0.5982290464672465
