signal,threshold,a_abstention,a_caught,b_abstention,b_caught,b_null,b_caught_ci_lo,b_caught_ci_hi,b_benign_ok_abstained,useful
quality_score,0.7389123076923076,0.16964285714285715,0.1111111111111111,0.16470588235294117,0.10526315789473684,0.16470588235294117,0.029357941395096582,0.31394550494841694,0.23636363636363636,False
crop_contrast,0.3986322381034441,0.21428571428571427,0.2777777777777778,0.21764705882352942,0.15789473684210525,0.21764705882352942,0.05520371039927826,0.37565927643176683,0.34545454545454546,False
crop_blur,0.07264832443328098,0.020833333333333332,0.0,0.026470588235294117,0.05263157894736842,0.026470588235294117,0.00935175249052995,0.24639215336545212,0.02727272727272727,False
mask_area_fraction,0.2092172182523287,0.22916666666666666,0.3333333333333333,0.24705882352941178,0.5263157894736842,0.24705882352941178,0.31707482511825114,0.7267049451255145,0.2545454545454545,True
